"","R_viento","R_Humedad","R_lluvia","R_radiacion.solar","R_temperatura.enero","R_temperatura.julio","R_HC","R_NO2","R_CO","R_NO","R_NO","R_particulas"
"15","vie5[10a10]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"16","vie4[8.5a9.5]","Hum2[43a52.5]","llu1[32a35.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem5[85a85]","HC1[30a46]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"17","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem3[73.5a77.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"18","vie3[7.5a8.5]","Hum1[35a43]","llu1[32a35.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"19","vie4[8.5a9.5]","Hum1[35a43]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"20","vie4[8.5a9.5]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"21","vie5[10a10]","Hum2[43a52.5]","llu2[35.5a37.5]","rad2[44a63]","tem2[30.5a32.5]","tem5[85a85]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"22","vie4[8.5a9.5]","Hum2[43a52.5]","llu1[32a35.5]","rad4[77.5a94.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"23","vie3[7.5a8.5]","Hum4[56.5a61.5]","llu1[32a35.5]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO1[-0.1a2]","NO1[1a2]","par3[111a111]"
"24","vie1[5a6.5]","Hum2[43a52.5]","llu1[32a35.5]","rad1[30a44]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"25","vie1[5a6.5]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad4[77.5a94.5]","tem3[32.5a34.5]","tem5[85a85]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"26","vie3[7.5a8.5]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"27","vie1[5a6.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad4[77.5a94.5]","tem3[32.5a34.5]","tem4[77.5a81.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"28","vie3[7.5a8.5]","Hum2[43a52.5]","llu1[32a35.5]","rad4[77.5a94.5]","tem1[28a30.5]","tem3[73.5a77.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO2[6.5a8.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"29","vie1[5a6.5]","Hum2[43a52.5]","llu1[32a35.5]","rad2[44a63]","tem2[30.5a32.5]","tem1[63a68.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"30","vie5[10a10]","Hum4[56.5a61.5]","llu4[39.5a42]","rad1[30a44]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"31","vie3[7.5a8.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad3[63a77.5]","tem4[34.5a36.5]","tem5[85a85]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"32","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu1[32a35.5]","rad2[44a63]","tem2[30.5a32.5]","tem5[85a85]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"33","vie1[5a6.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad2[44a63]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"34","vie1[5a6.5]","Hum2[43a52.5]","llu1[32a35.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO5[11.1a11.1]","NO3[10a10]","par2[64.5a93.5]"
"35","vie5[10a10]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad1[30a44]","tem3[32.5a34.5]","tem4[77.5a81.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"36","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad4[77.5a94.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"37","vie1[5a6.5]","Hum5[65a65]","llu5[45a45]","rad4[77.5a94.5]","tem5[40a40]","tem4[77.5a81.5]","HC5[80a80]","NO25[38a38]","CO5[11.8a11.8]","NO1[-0.1a2]","NO1[1a2]","par3[111a111]"
"38","vie1[5a6.5]","Hum4[56.5a61.5]","llu5[45a45]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"39","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"40","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"41","vie1[5a6.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem1[63a68.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"42","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad1[30a44]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"43","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"44","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad3[63a77.5]","tem5[40a40]","tem4[77.5a81.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"45","vie2[6.5a7.5]","Hum2[43a52.5]","llu1[32a35.5]","rad2[44a63]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"46","vie5[10a10]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem4[77.5a81.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"47","vie1[5a6.5]","Hum2[43a52.5]","llu1[32a35.5]","rad3[63a77.5]","tem1[28a30.5]","tem2[68.5a73.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO2[6.5a8.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"48","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad2[44a63]","tem3[32.5a34.5]","tem1[63a68.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"49","vie1[5a6.5]","Hum2[43a52.5]","llu1[32a35.5]","rad2[44a63]","tem1[28a30.5]","tem1[63a68.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO2[6.5a8.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"50","vie2[6.5a7.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad2[44a63]","tem2[30.5a32.5]","tem1[63a68.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO3[3.5a4.5]","NO2[2a7.5]","par2[64.5a93.5]"
"51","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad2[44a63]","tem2[30.5a32.5]","tem3[73.5a77.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO5[11.1a11.1]","NO3[10a10]","par2[64.5a93.5]"
"52","vie1[5a6.5]","Hum3[52.5a56.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"53","vie1[5a6.5]","Hum4[56.5a61.5]","llu1[32a35.5]","rad2[44a63]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"54","vie2[6.5a7.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"55","vie5[10a10]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem4[34.5a36.5]","tem4[77.5a81.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"56","vie5[10a10]","Hum2[43a52.5]","llu1[32a35.5]","rad3[63a77.5]","tem1[28a30.5]","tem4[77.5a81.5]","HC2[46a63.5]","NO22[23.5a30.5]","CO2[6.5a8.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"57","vie4[8.5a9.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad3[63a77.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"58","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"59","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"60","vie4[8.5a9.5]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
